wo_serial,wo_deal_name,wo_customer_code,wo_normalized_client,wo_sector,wo_owner,wo_po_date,matched_deal_row_id,matched_deal_name,matched_client_code,matched_deal_sector,matched_deal_owner,matched_deal_status,matched_deal_date,confidence_tier,match_score,match_notes
SDPLDEAL-091,Rafiki,WOCOMPANY_048,COMPANY048,Mining,OWNER_003,2025-07-08,,,,,,,,UNMATCHED,110.0,"Ambiguous multiple candidates (best score 110, runner-up 110, margin 0)"
SDPLDEAL-092,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-093,Obito,WOCOMPANY_023,COMPANY023,Mining,OWNER_003,2025-07-15,,,,,,,,UNMATCHED,-10.0,Below confidence threshold (best score -10): Exact Deal Name; Conflicting Sector; Matching Owner; Dead Deal Status
SDPLDEAL-094,GG go,WOCOMPANY_035,COMPANY035,Renewables,OWNER_003,2025-07-10,,,,,,,,UNMATCHED,0.0,Deal name 'GG go' does not exist in Deals board
SDPLDEAL-095,Subaru,WOCOMPANY_019,COMPANY019,Mining,OWNER_001,2025-07-17,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-096,Alphonse,WOCOMPANY_009,COMPANY009,Renewables,OWNER_001,2025-07-16,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-097,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-098,Erwin,WOCOMPANY_021,COMPANY021,Mining,OWNER_001,2025-05-22,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-099,Goku,WOCOMPANY_003,COMPANY003,Railways,OWNER_003,2025-07-23,32.0,Goku,COMPANY067,Railways,OWNER_003,Open,,MATCHED_HIGH,90.0,"High confidence composite match (90 pts, margin 55): Exact Deal Name; Matching Sector; Matching Owner; Status: Open"
SDPLDEAL-100,Erwin,WOCOMPANY_021,COMPANY021,Mining,OWNER_001,2025-05-28,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-102,Nami,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-08-02,,,,,,,,UNMATCHED,50.0,"Ambiguous multiple candidates (best score 50, runner-up -999, margin 1049)"
SDPLDEAL-103,Ben Tennyson,WOCOMPANY_033,COMPANY033,Renewables,OWNER_003,2025-08-01,,,,,,,,UNMATCHED,110.0,"Ambiguous multiple candidates (best score 110, runner-up 110, margin 0)"
SDPLDEAL-105,Subaru,WOCOMPANY_019,COMPANY019,Mining,OWNER_001,2025-08-06,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-106,Yuji Itadori,WOCOMPANY_006,COMPANY006,Renewables,OWNER_003,2025-08-08,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
